"%s was successfully added to your shopping cart.","%s تم بنجاح إضافة إلى سلة التسوق الخاصة بك."
"&laquo; Back to Billing Information","&laquo; العودة إلى معلومات الفواتير"
"&laquo; Back to Select Addresses","&laquo; العودة إلى تحديد عناوين"
"&laquo; Back to Shopping Cart","&laquo; العودة إلى سلة التسوق"
"* Required Fields","* الحقول المطلوبة"
"Add New Address","اضف عنوان جديد"
"Add New Condition","إضافة شرط جديد"
"Add to Cart","أضف إلى السلة,"
"Add to Compare","اضف للمقارنة"
"Add to Wishlist","اضف الى قائمة الامنيات"
"Address","عنوان"
"Address %s of %s","عنوان %s من %s"
"After adding a product redirect to shopping cart","بعد إضافة منتج إعادة توجيه إلى عربة التسوق"
"Allow Guest Checkout","السماح للزائر الخروج"
"Already registered?","مسجل بالفعل؟"
"An error occurred in the process of payment","حدث خطأ في عملية الدفع"
"Apply Coupon","تطبيق القسيمة"
"Are you sure you would like to remove this item from the shopping cart?","هل أنت متأكد أنك ترغب في إزالة هذا العنصر من عربة التسوق؟"
"Back","الى الخلف"
"Back to Shipping Information","العودة إلى معلومات الشحن"
"Based on your selection, you may be interested in the following items:","وفقا لاختيارك، قد تكون مهتمة في البنود التالية:"
"Billing Address","عنوان وصول الفواتير"
"Billing Information","معلومات الفواتير"
"Billing Information - %s","معلومات الفواتير - %s"
"Can not add item to shopping cart","لا يمكن إضافة بند إلى عربة التسوق"
"Can not apply coupon code.","لا يمكن تطبيق رمز القسيمة."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","إلغاء القسيمة"
"Cannot remove item","لا يمكن إزالة البند"
"Cannot update shopping cart","لا يمكن تحديث عربة التسوق"
"Card Verification Number Visual Reference","رقم التحقق من البطاقة البصرية المرجعي"
"Cart Subtotal:","عربة المجموع الفرعي:"
"Change","تغيير"
"Change Billing Address","تغيير عنوان الفواتير"
"Checkbox text","نص مربع"
"Checkout","الدفع"
"Checkout Conditions","شروط الخروج"
"Checkout Options","خيارات المحاسبه"
"Checkout Section","القسم الخروج"
"Checkout Terms and Conditions","الشروط والأحكام المحاسبه"
"Checkout as Guest","الخروج كضيف"
"Checkout as a Guest or Register","الخروج كضيف أو التسجيل"
"Checkout method","طريقة الخروج"
"Checkout with Multiple Addresses","الخروج مع عناوين متعددة"
"City","مدينة"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","قريبقريب"
"Company","شركة"
"Condition Name","حالة اسم"
"Condition was successfully deleted","تم حذف شرط بنجاح"
"Condition was successfully saved","تم حفظ حالة بنجاح"
"Configurable product image","صورة المنتج شكلي"
"Confirm Password","تأكيد كلمة المرور"
"Content","محتوى"
"Content Height","المحتوى الطول"
"Content Height (css)","ارتفاع المحتوى (المغلق)"
"Continue","استمر"
"Continue Shopping","مواصلة التسوق"
"Continue to Billing Information","مواصلة معلومات الفواتير"
"Continue to Review Your Order","الاستمرار في مراجعة النظام الخاص بك"
"Continue to Shipping Information","مواصلة معلومات الشحن"
"Country","بلد"
"Coupon code ""%s"" is not valid.","رمز القسيمة ""%s"" غير صالح."
"Coupon code ""%s"" was applied successfully.","ØªÙ… ØªØ·Ø¨ÙŠÙ‚ Ø±Ù…Ø² Ø§Ù„Ù‚Ø³ÙŠÙ…Ø© ""Ùª S"" Ø¨Ù†Ø¬Ø§Ø­."
"Coupon code was canceled successfully.","تم إلغاء رمز القسيمة بنجاح."
"Create Billing Address","إنشاء عنوان الفواتير"
"Create Shipping Address","إنشاء العناوين البريدية"
